model,attribute,value,count,p,ci_low,ci_high
phi3:latest,political_orientation,unspecified,5,0.05,0.007283575292052952,0.09271642470794705
phi3:latest,political_orientation,independent,5,0.05,0.007283575292052952,0.09271642470794705
phi3:latest,political_orientation,diverse,5,0.05,0.007283575292052952,0.09271642470794705
phi3:latest,political_orientation,bipartisan,4,0.04,0.0015927065891575276,0.07840729341084247
phi3:latest,political_orientation,mixed,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,family_status,family,33,0.33,0.23784000079994191,0.4221599992000581
phi3:latest,family_status,nuclear,29,0.29,0.20106427201732024,0.3789357279826797
phi3:latest,family_status,individual,22,0.22,0.13880921643246003,0.30119078356754
phi3:latest,family_status,married,6,0.06,0.013453434338595006,0.106546565661405
phi3:latest,family_status,adult,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,family_status,single or coupled,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,family_status,partnered,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,family_status,dual-earner household,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,family_status,committed,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,family_status,biparental,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,health_status,healthy,57,0.57,0.47296693568931614,0.6670330643106838
phi3:latest,health_status,variable,11,0.11,0.04867473452597577,0.17132526547402424
phi3:latest,health_status,average,7,0.07,0.019992103700796654,0.12000789629920336
phi3:latest,health_status,normal,7,0.07,0.019992103700796654,0.12000789629920336
phi3:latest,health_status,typical,5,0.05,0.007283575292052952,0.09271642470794705
phi3:latest,health_status,good,4,0.04,0.0015927065891575276,0.07840729341084247
phi3:latest,health_status,vital,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,health_status,vigorous,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,health_status,healthy or unhealthy,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,health_status,nominal,1,0.01,-0.009501395417987871,0.029501395417987873
